line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
252,TRUMP,"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent.","Trump ""You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacturing is down 30, 40, sometimes 50 percent.""","Pennsylvania has lost 35 percent of its manufacturing jobs since 2001 and ""Harrisburg has lost 40 percent of its manufacturing jobs since 2001.""",Donald Trump and the number of manufacturing jobs Pennsylvania has lost  PolitiFact Pennsylvan,Mostly True,https://www.politifact.com/pennsylvania/statements/2016/apr/22/donald-trump/donald-trump-and-number-manufacturing-jobs-pennsyl/,
264,TRUMP,You called it the gold standard of trade deals.,"Trump ""You called the Trans-Pacific Partnership the gold standard of trade deals. You said it's the finest deal you've ever seen.""","Says Hillary Clinton called the Trans-Pacific Partnership ""the gold standard. You called it the gold standard of trade deals. You said its the finest deal youve ever seen.""",Donald Trump says Hillary Clinton lauded controversial Trans-Pacific trade de,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-says-hillary-clinton-lauded-controver/,
265,TRUMP,You said it's the finest deal you've ever seen.,"Trump ""You called the Trans-Pacific Partnership the gold standard of trade deals. You said it's the finest deal you've ever seen.""","Says Hillary Clinton called the Trans-Pacific Partnership ""the gold standard. You called it the gold standard of trade deals. You said its the finest deal youve ever seen.""",Donald Trump says Hillary Clinton lauded controversial Trans-Pacific trade de,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-says-hillary-clinton-lauded-controver/,
424,TRUMP,"Now, look, we have the worst revival of an economy since the Great Depression.","Trump ""Now, look, we have the worst revival of an economy since the Great Depression.""","Says the United States is in ""the worst recovery from an economic recession since World War II.""",Christie The U.S. is in the worst recovery since WWII,Half-True,https://www.politifact.com/truth-o-meter/statements/2015/nov/10/chris-christie/christie-us-worst-recovery-wwii/,
440,TRUMP,"But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have.","Trump ""You will learn more about Donald Trump by going down to the Federal Election Commission"" to see the financial disclosure form than by looking at tax returns.",You will learn more about Donald Trump by going down to the Federal Elections to see the financial disclosure form than by looking at tax returns.,Donald Trump wrong that 'you will learn more' from financial disclosure form than from tax returns,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-talks-about-his-finances-first-presid/,
493,CLINTON,"Or maybe he doesn't want the American people, all of you watching tonight, to know that he's paid nothing in federal taxes, because the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn't pay any federal income tax.","Clinton ""He's paid nothing in federal taxes, because the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn't pay any federal income tax.""","The only years that anybody's ever seen of Donald Trumps tax returns ""showed he didn't pay any federal income tax.""","At debate, Hillary Clinton tax claim ignores years when Donald Trump reportedly paid federal taxes",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/27/hillary-clinton/debate-hillary-clinton-tax-claim-ignores-years-whe/,
575,CLINTON,"And when we talk about your business, you've taken business bankruptcy six times.","Clinton ""You've taken business bankruptcy six times.""","Says Donald Trump has ""bankrupted his companies not once, not twice but four times.""","Yep, Donald Trump's companies have declared bankruptcy...more than four times",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jun/21/hillary-clinton/yep-donald-trumps-companies-have-declared-bankrupt/,
579,CLINTON,You even at one time suggested that you would try to negotiate down the national debt of the United States.,"Clinton ""You even at one time suggested that you would try to negotiate down the national debt of the United States.""","Says Donald Trump once suggested that he ""would try to negotiate down the national debt.""",Hillary Clinton says Donald Trump has said he would negotiate down the national deb,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-says-donald-trump-has-said-he-woul/,
629,CLINTON,"The gun epidemic is the leading cause of death of young African- American men, more than the next nine causes put together.","Clinton ""The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.""","The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.",Hillary Clinton correct that gun deaths for young black males outpace next 9 causes combined,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-correct-gun-deaths-young-black-mal/,
645,TRUMP,"In Chicago, they've had thousands of shootings, thousands since January 1st.","Trump ""In Chicago, they've had thousands of shootings, thousands since January 1st. Thousands of shootings.""","In Chicago, they've had thousands of shootings, thousands since Jan. 1. Thousands of shootings.",Donald Trump says Chicago has experienced thousands of shootings this year,TRUE,http://politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trump-says-chicago-has-experienced-thousand/,
711,CLINTON,"And it's just a fact that if you're a young African-American man and you do the same thing as a young white man, you are more likely to be arrested, charged, convicted, and incarcerated.","Clinton ""It's just a fact that if you're a young African-American man and you do the same thing as a young white man, you are more likely to be arrested, charged, convicted, and incarcerated.""",African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.,"Hillary Clinton says blacks more likely to be arrested, get longer sentences",TRUE,https://www.politifact.com/truth-o-meter/statements/2016/feb/26/hillary-clinton/hillary-clinton-says-blacks-more-likely-be-arreste/,
748,TRUMP,I do want to bring up the fact that you were the one that brought up the words super-predator about young black youth.,"Trump ""I do want to bring up the fact that you were the one that brought up the words superpredator about young black youth.""","Says Hillary Clinton ""is the one that labeled African-American youth as superpredators.""",Did Hillary Clinton call African-American youth 'superpredators?',Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/aug/28/reince-priebus/did-hillary-clinton-call-african-american-youth-su/,
819,TRUMP,They were pressing it very hard.,"Trump Top Clinton advisors ""were pressing"" birther movement stories ""very hard.""","Says top Clinton advisers ""were pressing"" birther movement stories ""very hard.""",Trump falsely tries to pin birtherism on Clinton insiders,FALSE,http://politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/trump-again-tries-pin-birtherism-clinton-insiders/,WEAK
868,CLINTON,"But, remember, Donald started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans, and he made sure that the people who worked for him understood that was the policy.","Clinton ""Donald started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""","Says Donald Trump ""started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""",True Hillary Clinton says federal government sued Donald Trump for housing discrimination,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/sep/27/hillary-clinton/true-hillary-clinton-says-federal-government-sued-/,
927,CLINTON,And that's why I was so -- I was so shocked when Donald publicly invited Putin to hack into Americans.,"Clinton ""I was so shocked when Donald publicly invited Putin to hack into Americans. That is just unacceptable.""","Says Donald Trump ""publicly invited Putin to hack into Americans emails.""",Hillary Clinton claims Donald Trump invited Russian President Vladimir Putin  to hack Americans,Half-True,http://politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-claims-donald-trump-invited-russia/,
1010,CLINTON,"He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time.","Clinton ""He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time.""","Says Donald Trump is ""on record extensively supporting the intervention in Libya.""",Hillary Clinton says Trump supported intervention in Liby,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/07/hillary-clinton/clinton-says-trump-supported-intervention-libya/,
1010,CLINTON,"He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time.","Clinton ""He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time.""","When Moammar Gadhafi was set to visit the United Nations, and no one would let him stay in New York, Trump allowed Gadhafi to set up an elaborate tent at his Westchester County New York estate.",Kaine accurately recalls the time Gadhafi had a tent put up on Trump's estate  PolitiFact Virgin,TRUE,https://www.politifact.com/virginia/statements/2016/sep/15/tim-kaine/kaine-accurately-recalls-time-gadhafi-had-tent-put/,
1057,TRUMP,"But I said they have to focus on terror, also.","Trump ""I'm all for NATO. But I said they have to focus on terror, also. And they're going to do that. And that was  believe me  I'm sure I'm not going to get credit for it  but that was largely because of what I was saying and my criticism of NATO.""","I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats.",Donald Trump mischaracterizes NATO change and his role in,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/aug/16/donald-trump/donald-trump-mischaracterizes-nato-change-and-his-/,
1059,TRUMP,And that was -- believe me -- I'm sure I'm not going to get credit for it -- but that was largely because of what I was saying and my criticism of NATO.,"Trump ""I'm all for NATO. But I said they have to focus on terror, also. And they're going to do that. And that was  believe me  I'm sure I'm not going to get credit for it  but that was largely because of what I was saying and my criticism of NATO.""","I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats.",Donald Trump mischaracterizes NATO change and his role in,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/aug/16/donald-trump/donald-trump-mischaracterizes-nato-change-and-his-/,
1079,TRUMP,I did not support the war in Iraq.,"Trump ""I did not support the war in Iraq. ...The record shows that Im right.""",I did not support the war in Iraq  The record shows that Im right.,"At first debate, Donald Trump claims, again, that he was against war in Iraq",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-claims-again-he-was-against-war-iraq/,
1148,CLINTON,"And my successor, John Kerry, and President Obama got a deal that put a lid on Iran's nuclear program without firing a single shot.","Clinton ""John Kerry and President Obama got a deal that put a lid on Iran's nuclear program without firing a single shot.""",We put a lid on Iran's nuclear program without firing a single shot.,Hillary Clinton says U.S. 'put a lid on Iran's nuclear program',Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jul/29/hillary-clinton/hillary-clinton-says-us-put-lid-irans-nuclear-prog/,
1182,TRUMP,They do not pay us.,"Trump ""We defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries. They do not pay us.""",We get practically nothing compared to the cost of keeping U.S. military forces in South Korea.,Donald Trump mostly wrong that 'we get practically nothing' from South Korea for U.S. troop presence,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/jan/10/donald-trump/donald-trump-mostly-wrong-we-get-practically-nothi/,NEEDS CONTEXT
1182,TRUMP,They do not pay us.,"Trump ""We defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries. They do not pay us.""",South Korea doesn't pay the United States for U.S. troops that protect their country.,Donald Trump says South Korea doesn't pay United States for troop presence,FALSE,https://www.politifact.com/truth-o-meter/statements/2011/apr/01/donald-trump/donald-trump-says-south-korea-doesnt-pay-us-troop-/,NEEDS CONTEXT
1214,TRUMP,China is totally powerful as it relates to North Korea.,"Trump ""China is totally powerful as it relates to North Korea.""","China has ""total control, just about, of North Korea.""",Donald Trump exaggerates when he says China has 'total control' over North Kore,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/jan/21/donald-trump/donald-trump-exaggerates-when-he-says-china-has-to/,
1215,TRUMP,"And by the way, another one powerful is the worst deal I think I've ever seen negotiated that you started is the Iran deal.","Trump The Obama administrations payment to Iran was ""one of the great giveaways of all time, of all time, including 400 million in cash. Nobody's ever seen that before. That turned out to be wrong. It was actually 1.7 billion in cash, obviously, I guess for the hostages. It certainly looks that way.""","The Obama administration gave Iran ""400 million in ransom payment cash.""",Donald Trump's Mostly False claim that 400 million payment to Iran was 'ransom',Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/aug/24/donald-trump/donald-trump-calls-400-million-payment-iran-ransom/,NEEDS CONTEXT
1222,TRUMP,"One of the great giveaways of all time, of all time, including $400 million in cash.","Trump The Obama administrations payment to Iran was ""one of the great giveaways of all time, of all time, including 400 million in cash. Nobody's ever seen that before. That turned out to be wrong. It was actually 1.7 billion in cash, obviously, I guess for the hostages. It certainly looks that way.""","The Obama administration gave Iran ""400 million in ransom payment cash.""",Donald Trump's Mostly False claim that 400 million payment to Iran was 'ransom',Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/aug/24/donald-trump/donald-trump-calls-400-million-payment-iran-ransom/,NEEDS CONTEXT
1225,TRUMP,"It was actually $1.7 billion in cash, obviously, I guess for the hostages.","Trump The Obama administrations payment to Iran was ""one of the great giveaways of all time, of all time, including 400 million in cash. Nobody's ever seen that before. That turned out to be wrong. It was actually 1.7 billion in cash, obviously, I guess for the hostages. It certainly looks that way.""","The Obama administration gave Iran ""400 million in ransom payment cash.""",Donald Trump's Mostly False claim that 400 million payment to Iran was 'ransom',Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/aug/24/donald-trump/donald-trump-calls-400-million-payment-iran-ransom/,NEEDS CONTEXT
1326,CLINTON,"But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said...","Clinton ""This is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers.""","Some of the things that Megyn Kelly said, I didnt say.",Donald Trump says 'he didn't say' the things about women that Megyn Kelly asked him about in debate,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/aug/10/donald-trump/donald-trump-says-women-viciously-attacked-him-fir/,
1326,CLINTON,"But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said...","Clinton ""This is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers.""","SaysDonald Trump called pregnant employees ""an inconvenience.""",Clinton Trump called pregnant employees 'an inconvenience'  PolitiFact Oh,TRUE,https://www.politifact.com/ohio/statements/2016/jun/24/hillary-clinton/clinton-trump-called-pregnant-employees-inconvenie/,
