line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
73,TRUMP,"She has even deleted this record of total support from her book – deletion is something she is very good at -- (at least 30,000 emails are missing.)","She's deleted at least 30,000 emails.",I have now put out all of my emails.,"Hillary Clinton spins on Meet the Press, says she put out all her emails",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/apr/03/hillary-clinton/hillary-clinton-i-have-now-put-out-all-my-emails/,
83,TRUMP,"He was left helpless to die as Hillary Clinton soundly slept in her bed -- that's right, when the phone rang at 3 o'clock in the morning, she was sleeping.","The Benghazi victims were ""left helpless to die as Hillary Clinton soundly slept in her bed.""","The Benghazi victims were ""left helpless to die as Hillary Clinton soundly slept in her bed.""",Donald Trump says Hillary Clinton 'slept' through Benghazi attack,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jun/23/donald-trump/donald-trump-says-hillary-clinton-slept-through-be/,
84,TRUMP,Ambassador Stevens and his staff in Libya made hundreds of requests for security.,Ambassador Chris Stevens and his staff in Libya made hundreds and hundreds of requests for security. ...Hillary Clintons State Department refused them all.,"Says Hillary Clinton ""was asked repeatedly to provide security in Benghazi on several occasions, including direct cables.""",Rand Paul  says Hillary Clinton was asked repeatedly to provide security in Benghazi  including direct cables,Mostly False,https://www.politifact.com/truth-o-meter/statements/2013/may/22/rand-paul/rand-paul-says-hillary-clinton-was-asked-repeatedl/,
85,TRUMP,Hillary Clinton's State Department refused them all.,Ambassador Chris Stevens and his staff in Libya made hundreds and hundreds of requests for security. ...Hillary Clintons State Department refused them all.,"Says Hillary Clinton ""was asked repeatedly to provide security in Benghazi on several occasions, including direct cables.""",Rand Paul  says Hillary Clinton was asked repeatedly to provide security in Benghazi  including direct cables,Mostly False,https://www.politifact.com/truth-o-meter/statements/2013/may/22/rand-paul/rand-paul-says-hillary-clinton-was-asked-repeatedl/,
107,TRUMP,"Though I was not in government service, I was among the earliest to criticize the rush to war, and yes, even before the war ever started.","I was among the earliest to criticize the rush to war, and yes, even before the war ever started.","I was totally against the war in Iraq, saying for many years that it would destabilize the Middle East.",Donald Trump did not warn the Iraq War would 'destabilize the Middle East' before it started,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/apr/27/donald-trump/donald-trump-iraq-war-destabilize/,
107,TRUMP,"Though I was not in government service, I was among the earliest to criticize the rush to war, and yes, even before the war ever started.","I was among the earliest to criticize the rush to war, and yes, even before the war ever started.","I was among the earliest to criticize the rush to war in Iraq, and yes, even before the war ever started.",Trump still wrong on his claim that opposed Iraq War ahead of the invasion,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jun/22/donald-trump/trump-still-wrong-his-claim-opposed-iraq-war-ahead/,
112,TRUMP,"In fact, Hillary Clinton supports a radical 550% increase in Syrian refugees coming into the United States, and that's an increase over President Obama's already very high number.","Hillary Clinton supports a radical 550 percent increase in Syrian refugees coming into the United States, and that's an increase over President Obama's already very high number.","Says Hillary Clinton ""plans to massively increase admissions of Middle East refugees  including a 500 percent increase in Syrian refugees coming into our country.""",Donald Trump says Hillary Clinton wants to let 500 percent more Syrians into the U.S.,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jun/13/donald-trump/donald-trump-says-hillary-clinton-wants-let-500-pe/,
113,TRUMP,"Under her plan, we would admit hundreds of thousands of refugees from the most dangerous countries on Earth – with no way to screen who they are or what they believe.","Theres ""no way to screen who they are, what they are, what they believe, where they come from.""","There is ""no system to vet"" refugees from the Middle East.",Wrong Donald Trump says there's 'no system to vet' refugees,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jun/13/donald-trump/wrong-donald-trump-says-theres-no-system-vet-refug/,
114,TRUMP,"Already, hundreds of recent immigrants and their children have been convicted of terrorist activity inside the U.S.","Already, hundreds of recent immigrants and their children have been convicted of terrorist activity inside the U.S.","Number of Americans killed by terrorism in the last decade 24. Number of Americans killed by guns in the last decade 280,024.",#NAME?,Mostly True,https://www.politifact.com/truth-o-meter/statements/2015/oct/05/viral-image/fact-checking-comparison-gun-deaths-and-terrorism-/,
129,TRUMP,"Hillary Clinton took up to $25 million from Saudi Arabia, where being gay is also punishable by death.","Hillary took up to 25 million from Saudi Arabia, and much more from others, where being gay is also punishable by death. Hillary took millions from Kuwait, Qatar, Oman and many other countries that horribly abuse women and LGBT citizens.",The Clintons' foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,Conservative group claims Hillary Clinton's foundation took millions from foreign governments,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/feb/26/american-crossroads/conservative-group-claims-hillary-clintons-foundat/,
130,TRUMP,"Hillary took millions from Kuwait, Qatar, Oman and many other countries that horribly abuse women and LGBT citizens.","Hillary took up to 25 million from Saudi Arabia, and much more from others, where being gay is also punishable by death. Hillary took millions from Kuwait, Qatar, Oman and many other countries that horribly abuse women and LGBT citizens.",The Clintons' foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,Conservative group claims Hillary Clinton's foundation took millions from foreign governments,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/feb/26/american-crossroads/conservative-group-claims-hillary-clintons-foundat/,
140,TRUMP,"She has pledged to grant mass amnesty and in her first 100 days, end virtually all immigration enforcement, and thus create totally open borders in the United States.","Shes pledged to grant mass amnesty and in her first 100 days, end virtually all immigration enforcement, and thus create totally open borders in the United States.","Says HillaryClintons immigration platform would ""create totally open borders.""",Donald Trump says Hillary Clinton would create 'totally open borders'  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2016/jun/23/donald-trump/donald-trump-says-hillary-clinton-would-create-tot/,
150,TRUMP,"For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.","For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.","For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.",Trump wrong that Clinton's refugee plan would cost more than rebuilding all inner cities,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/jun/22/donald-trump/trump-wrong-clintons-refugee-plan-would-cost-more-/,
156,TRUMP,Pass massive tax reform to create millions of new jobs.,Well pass massive tax reform that will lower taxes for everyone.,"Under Donald Trump's tax plan, ""the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average -- would get more tax relief than the bottom 60 percent of taxpayers combined.""","Top 0.1 would be big winner under Donald Trump's tax plan, Wisconsin Hillary Clinton supporter says  PolitiFact Wisconsin",TRUE,https://www.politifact.com/wisconsin/statements/2016/may/20/jennifer-shilling/top-01-would-be-big-winner-under-donald-trumps-tax/,
156,TRUMP,Pass massive tax reform to create millions of new jobs.,Well pass massive tax reform that will lower taxes for everyone.,Says his plan would cut taxes without increasing the deficit.,Donald Trump's false claim that his tax plan wouldn't increase the def,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/nov/05/donald-trump/donald-trumps-false-claim-his-tax-plan-wouldnt-inc/,NOT SURE
178,TRUMP,Our military will have the best technology and finest equipment – we will bring it back all the way.,"Our military has been ""totally depleted.""",We spend more on our military than the next eight nations combined.,Obama US spends more on military than next 8 nations combined,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jan/13/barack-obama/obama-us-spends-more-military-next-8-nations-combi/,HARD
178,TRUMP,Our military will have the best technology and finest equipment – we will bring it back all the way.,"Our military has been ""totally depleted.""","Under sequestration, the military was cut ""down to the smallest Army since 1940, the smallest Navy since 1915.""","Lindsey Graham Army is smallest since 1940, Navy smallest since 1915",Half-True,https://www.politifact.com/truth-o-meter/statements/2014/oct/05/lindsey-graham/lindsey-graham-army-smallest-1940-navy-smallest-19/,HARD
182,TRUMP,"The real wages for our workers have not been raised for 18 years -- but these wages will start going up, along with the new jobs.",The real wages for our workers have not been raised for 18 years,Americans havent had a raise in 15 years.,"Americans really haven't had a raise in 15 years, as Hillary Clinton says",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/feb/11/hillary-clinton/debate-hillary-clinton-says-americans-havent-had-r/,
