line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
201,TRUMP,It's just pouring and destroying their youth.,"Trump ""The single-biggest problem is heroin that pours across our southern borders, just pouring, and destroying their youth and is poisoning the blood of their youth and plenty of other people.""",Heroin .. pours across our southern borders.,Trump says heroin pours across the southern border,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/oct/19/donald-trump/trump-says-heroin-pours-across-southern-border/,WEAK
228,CLINTON,He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.,"Clinton ""He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.""","Says Donald Trump ""saidas recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.""",Hillary Clinton Donald Trump still promising to deport every undocumented person,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/hillary-clinton/hillary-clinton-donald-trump-still-promising-depor/,
255,TRUMP,Hillary Clinton wanted the wall.,"Trump ""Hillary Clinton wanted the wall. Hillary Clinton fought for the wall in 2006 or thereabouts.""","Says Hillary Clinton ""wanted the wall.""","Donald Trump says Hillary Clinton fought for a wall between U.S., Mex",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/donald-trump-says-hillary-clinton-fought-wall-betw/,
256,TRUMP,Hillary Clinton fought for the wall in 2006 or thereabouts.,"Trump ""Hillary Clinton wanted the wall. Hillary Clinton fought for the wall in 2006 or thereabouts.""","Says Hillary Clinton ""wanted the wall.""","Donald Trump says Hillary Clinton fought for a wall between U.S., Mex",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/donald-trump-says-hillary-clinton-fought-wall-betw/,
273,CLINTON,He used undocumented labor to build the Trump Tower.,"Clinton ""He used undocumented labor to build the Trump Tower.""","Says Donald Trump ""used undocumented labor to build the Trump Tower.""",Hillary Clinton correctly claims that Trump Tower was in part built by undocumented workers,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/hillary-clinton/hillary-clinton-correctly-claims-trump-tower-was-p/,
339,TRUMP,"She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people.","Trump ""She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people.""","Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent.""",Mike Pence cites Clinton support for more Syrian refugees,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/sep/04/mike-pence/mike-pence-cites-clinton-support-more-syrian-refug/,
345,TRUMP,I don't know Putin.,"Trump ""I dont know Putin.""",On whether hes had a relationship with Vladimir Putin.,Donald Trump gets a Full Flop for whether he's had a relationship to Vladimir Putin,Full Flop,https://www.politifact.com/truth-o-meter/statements/2016/aug/01/donald-trump/donald-trump-gets-full-flop-whether-hes-had-relati/,
363,CLINTON,"that the Russians have engaged in cyberattacks against the United States of America, that you encouraged espionage against our people, that you are willing to spout the Putin line, sign up for his wish list, break up NATO, do whatever he wants to do, and that you continue to get help from him, because he has a very clear favorite in this race.","Clinton ""You encouraged espionage against our people.""","Says Donald Trump ""publicly invited Putin to hack into Americans emails.""",Hillary Clinton claims Donald Trump invited Russian President Vladimir Putin  to hack Americans,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-claims-donald-trump-invited-russia/,
366,CLINTON,"We have 17 -- 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin and they are designed to influence our election.","Clinton ""We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin and they are designed to influence our election.""","We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.",Hillary Clinton blames high-up Russians for WikiLeaks releases,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/oct/19/hillary-clinton/hillary-clinton-blames-russia-putin-wikileaks-rele/,
424,CLINTON,"advocated more countries getting them, Japan, Korea, even Saudi Arabia.","Clinton ""Hes advocated more countries getting them, Japan, Korea, even Saudi Arabia.""","Says Donald Trump ""never said that"" more nations should get nuclear weapons.","At debate, Mike Pence claims Trump never said more nations should have nuclear weapons",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/oct/05/mike-pence/debate-mike-pence-claims-trump-never-said-more-nat/,WEAK
468,CLINTON,"I want us to have the biggest jobs program since World War II, jobs in infrastructure and advanced manufacturing.","Clinton ""I want us to have the biggest jobs program since World War II, jobs in infrastructure and advanced manufacturing.""","Says her campaign platform includes the ""biggest investment in new, good-paying jobs since World War II.""",Hillary Clinton's claim that she would make the biggest jobs investment since World War II,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/aug/17/hillary-clinton/hillary-clintons-claim-she-would-make-biggest-jobs/,
485,CLINTON,"Because his whole plan is to cut taxes, to give the biggest tax breaks ever to the wealthy and to corporations, adding $20 trillion to our debt, and causing the kind of dislocation that we have seen before, because it truly will be trickle-down economics on steroids.","Clinton ""His whole plan is to cut taxes, to give the biggest tax breaks ever to the wealthy and to corporations.""","Says Donald Trumps tax plan gives the wealthy and corporations ""more than the Bush tax cuts by at least a factor of two.""",Clinton is right Trump tax plan gives more to rich than Bush tax cuts,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/oct/11/hillary-clinton/clinton-right-trump-tax-plan-gives-more-rich-bush-/,
490,TRUMP,"Well, first of all, before I start on my plan, her plan is going to raise taxes and even double your taxes.","Trump ""Her plan is going to raise taxes and even double your taxes.""","Says Hillary Clinton's ""plan is going to raise taxes and even double your taxes.""",Donald Trump off-base in saying Hillary Clinton will 'double your taxes',Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/donald-trump-predicts-hillary-clinton-will-double-/,
607,TRUMP,She lied when she said she didn't call it the gold standard in one of the debates.,"Trump ""She did call the Trans Pacific Partnership the gold standard. And they actually fact checked, and they said I was right. I was so honored.""","Says Hillary Clinton called the Trans-Pacific Partnership ""the gold standard. You called it the gold standard of trade deals. You said its the finest deal youve ever seen.""",Donald Trump says Hillary Clinton lauded controversial Trans-Pacific trade de,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-says-hillary-clinton-lauded-controver/,
609,TRUMP,She did call it the gold standard.,"Trump ""She did call the Trans Pacific Partnership the gold standard. And they actually fact checked, and they said I was right. I was so honored.""","Says Hillary Clinton called the Trans-Pacific Partnership ""the gold standard. You called it the gold standard of trade deals. You said its the finest deal youve ever seen.""",Donald Trump says Hillary Clinton lauded controversial Trans-Pacific trade de,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-says-hillary-clinton-lauded-controver/,
655,TRUMP,"Just like when you ran the State Department, $6 billion was missing.","Trump ""Just like when you ran the State Department, 6 billion was missing. How do you miss 6 billion? You ran the State Department, 6 billion was either stolen. They don't know. It's gone, 6 billion.""","When Hillary Clinton ""ran the State Department, 6 billion was missing. How do you miss 6 billion? You ran the State Department, 6 billion was either stolen  they don't know.""",Trump wrongly says 6 billion went missing at State Department under Clinton,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/trump-wrongly-says-6-billion-went-missing-state-de/,
657,TRUMP,"You ran the State Department, $6 billion was either stolen.","Trump ""Just like when you ran the State Department, 6 billion was missing. How do you miss 6 billion? You ran the State Department, 6 billion was either stolen. They don't know. It's gone, 6 billion.""","When Hillary Clinton ""ran the State Department, 6 billion was missing. How do you miss 6 billion? You ran the State Department, 6 billion was either stolen  they don't know.""",Trump wrongly says 6 billion went missing at State Department under Clinton,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/trump-wrongly-says-6-billion-went-missing-state-de/,
659,TRUMP,"It's gone, $6 billion.","Trump ""Just like when you ran the State Department, 6 billion was missing. How do you miss 6 billion? You ran the State Department, 6 billion was either stolen. They don't know. It's gone, 6 billion.""","When Hillary Clinton ""ran the State Department, 6 billion was missing. How do you miss 6 billion? You ran the State Department, 6 billion was either stolen  they don't know.""",Trump wrongly says 6 billion went missing at State Department under Clinton,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/trump-wrongly-says-6-billion-went-missing-state-de/,NOT SURE
667,CLINTON,He was getting sued by the Justice Department for racial discrimination in his apartment buildings.,"Clinton In the 1970s, Trump was ""getting sued by the Justice Department for racial discrimination in his apartment buildings."" In the 1980s, ""he was borrowing 14 million from his father to start his businesses."" In the 1990s, ""he insulted a former Miss Universe, Alicia Machado, called her an eating machine.""","Says Donald Trump ""started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""",True Hillary Clinton says federal government sued Donald Trump for housing discrimination,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/sep/27/hillary-clinton/true-hillary-clinton-says-federal-government-sued-/,
687,TRUMP,"She gave us ISIS, because her and Obama created this huge vacuum, and a small group came out of that huge vacuum because when -- we should never have been in Iraq, but once we were there, we should have never got out the way they wanted to get out.","Trump ""She gave us ISIS, because her and Obama created this huge vacuum, and a small group came out of that huge vacuum because when -- we should never have been in Iraq, but once we were there, we should have never got out the way they wanted to get out. She gave us ISIS as sure as you are sitting there.""",Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS.,Donald Trump wrongly blames Hillary Clinton for creation of ISIS  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2016/jul/20/donald-trump/donald-trump-wrongly-blames-hillary-clinton-creati/,
688,TRUMP,She gave us ISIS as sure as you are sitting there.,"Trump ""She gave us ISIS, because her and Obama created this huge vacuum, and a small group came out of that huge vacuum because when -- we should never have been in Iraq, but once we were there, we should have never got out the way they wanted to get out. She gave us ISIS as sure as you are sitting there.""",Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS.,Donald Trump wrongly blames Hillary Clinton for creation of ISIS  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2016/jul/20/donald-trump/donald-trump-wrongly-blames-hillary-clinton-creati/,
695,WALLACE,"And since then, as we all know, nine women have come forward and have said that you either groped them or kissed them without their consent.","Trump The allegations of sexual assault against him ""have been largely debunked.""","The stories from women saying he groped or forced himself on them ""largely have been debunked.""",Donald Trump says reports of sexual assault by him have been disproven,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/donald-trump-says-reports-sexual-assault-him-have-/,
699,TRUMP,"Well, first of all, those stories have been largely debunked.","Trump The allegations of sexual assault against him ""have been largely debunked.""","The stories from women saying he groped or forced himself on them ""largely have been debunked.""",Donald Trump says reports of sexual assault by him have been disproven,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/donald-trump-says-reports-sexual-assault-him-have-/,
751,TRUMP,"But I will tell you what isn't fictionalized are her e-mails, where she destroyed 33,000 e-mails criminally, criminally, after getting a subpoena from the United States Congress.","Trump ""I will tell you what isn't fictionalized are her e-mails, where she destroyed 33,000 e-mails criminally, criminally, after getting a subpoena from the United States Congress.""","You Hillary Clinton get a subpoena, and after getting the subpoena you delete 33,000 emails.","Donald Trump says Hillary Clinton deleted 33,000 emails after getting a subpoen",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/09/donald-trump/donald-trump-says-hillary-clinton-deleted-33000-em/,
765,CLINTON,"But he also went after a disabled reporter, mocked and mimicked him on national television.","Clinton ""He also went after a disabled reporter, mocked and mimicked him on national television."" Trump ""Wrong.""","Says Hillary Clinton is ""wrong"" to say he mocked a disabled reporter.",Donald Trump says Hillary Clinton is 'wrong' to say he mocked a disabled reporter,FALSE,http://politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/donald-trump-says-hillary-clinton-wrong-say-he-moc/,
766,TRUMP,Wrong.,"Clinton ""He also went after a disabled reporter, mocked and mimicked him on national television."" Trump ""Wrong.""","Says Hillary Clinton is ""wrong"" to say he mocked a disabled reporter.",Donald Trump says Hillary Clinton is 'wrong' to say he mocked a disabled reporter,FALSE,http://politifact.com/truth-o-meter/statements/2016/oct/20/donald-trump/donald-trump-says-hillary-clinton-wrong-say-he-moc/,
793,CLINTON,"But just briefly, the Clinton Foundation made it possible for 11 million people around the world with HIV-AIDS to afford treatment, and that's about half all the people in the world who are getting treatment.","Clinton ""The Clinton Foundation made it possible for 11 million people around the world with HIV-AIDS to afford treatment.""",Nine million people have lower-cost HIVAIDS medicine because of the work of the Clinton Foundation and my husband.,Clinton Clinton Foundation helped 9 million with lower-cost AIDS drugs  PolitiFact Global News Service,TRUE,https://www.politifact.com/global-news/statements/2016/jun/15/hillary-clinton/clinton-clinton-foundation-helped-9-million-lower-/,
815,TRUMP,"Saudi Arabia giving $25 million, Qatar, all of these countries.","Trump ""Saudi Arabia giving 25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. These are people that kill women and treat women horribly. And yet you take their money.""",The Clintons' foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,Conservative group claims Hillary Clinton's foundation took millions from foreign governments,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/feb/26/american-crossroads/conservative-group-claims-hillary-clintons-foundat/,
815,TRUMP,"Saudi Arabia giving $25 million, Qatar, all of these countries.","Trump ""Saudi Arabia giving 25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. These are people that kill women and treat women horribly. And yet you take their money.""","Says Hillary Clinton has been given tens of millions of dollars by countries that ""treat women horribly ...and countries that kill gays.""","Did Hillary Clinton take money from countries that treat women, gays poorly?  PolitiFact Arizon",Half-True,https://www.politifact.com/arizona/statements/2016/jul/11/donald-trump/did-hillary-clinton-take-money-countries-treat-wom/,
818,TRUMP,These are people that kill women and treat women horribly.,"Trump ""Saudi Arabia giving 25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. These are people that kill women and treat women horribly. And yet you take their money.""","Says Hillary Clinton has been given tens of millions of dollars by countries that ""treat women horribly ...and countries that kill gays.""","Did Hillary Clinton take money from countries that treat women, gays poorly?  PolitiFact Arizon",Half-True,https://www.politifact.com/arizona/statements/2016/jul/11/donald-trump/did-hillary-clinton-take-money-countries-treat-wom/,
820,TRUMP,"So I'd like to ask you right now, why don't you give back the money that you've taken from certain countries that treat certain groups of people so horribly?","Trump ""Saudi Arabia giving 25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. These are people that kill women and treat women horribly. And yet you take their money.""",The Clintons' foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,Conservative group claims Hillary Clinton's foundation took millions from foreign governments,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/feb/26/american-crossroads/conservative-group-claims-hillary-clintons-foundat/,
820,TRUMP,"So I'd like to ask you right now, why don't you give back the money that you've taken from certain countries that treat certain groups of people so horribly?","Trump ""Saudi Arabia giving 25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. These are people that kill women and treat women horribly. And yet you take their money.""","Says Hillary Clinton has been given tens of millions of dollars by countries that ""treat women horribly ...and countries that kill gays.""","Did Hillary Clinton take money from countries that treat women, gays poorly?  PolitiFact Arizon",Half-True,https://www.politifact.com/arizona/statements/2016/jul/11/donald-trump/did-hillary-clinton-take-money-countries-treat-wom/,
832,CLINTON,"And I'd be happy to compare what we do with the Trump Foundation, which took money from other people and bought a six- foot portrait of Donald.","Clinton The Trump Foundation ""took money from other people and bought a six- foot portrait of Donald.""","Says Donald Trump'sfoundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""","Barack Obama says Trump foundation took other people's money, bought a six-foot-tall painting",TRUE,https://www.politifact.com/truth-o-meter/statements/2016/sep/13/barack-obama/barack-obama-says-trump-foundation-took-other-peop/,
867,CLINTON,"He is the first candidate ever to run for president in the last 40-plus years who has not released his tax returns, so everything he says about charity or anything else, we can't prove it.","Clinton ""He is the first candidate ever to run for president in the last 40-plus years who has not released his tax returns.""","Says that except for Donald Trump, ""every other major party nominee"" for the past 40 years has released their tax returns.",Is Donald Trump the only major-party nominee in 40 years not to release his tax returns?  PolitiFact Wisconsin,Mostly True,https://www.politifact.com/wisconsin/statements/2016/sep/28/tammy-baldwin/donald-trump-only-major-party-nominee-40-years-not/,
877,TRUMP,"And all of her donors -- just about all of them -- I know Buffett took hundreds of millions of dollars, Soros, George Soros, took hundreds of millions of dollars...","Trump ""Buffett took hundreds of millions of dollars, Soros, George Soros, took hundreds of millions of dollars...Most of her donors have done the same thing as I do.""","Many of Hillary Clinton's friends took bigger deductions than me. Warren Buffett took a massive deduction. George Soros, who is a friend of hers, took a massive deduction.","Trump off-base on Buffett, Soros deductions",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/oct/18/donald-trump/trump-base-buffett-soros-deductions/,
918,TRUMP,"If you look -- excuse me, Chris -- if you look at your voter rolls, you will see millions of people that are registered to vote -- millions, this isn't coming from me -- this is coming from Pew Report and other places -- millions of people that are registered to vote that shouldn't be registered to vote.","Trump ""This is coming from Pew report and other places -- millions of people that are registered to vote that shouldn't be registered to vote.""","Of course, there is large scale voter fraud happening on and before election day.",Donald Trump's Pants on Fire claim of 'large scale voter fraud',Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/oct/17/donald-trump/donald-trumps-pants-fire-claim-large-scale-voter-f/,
942,CLINTON,There was even a time when he didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged against him.,"Clinton ""There was even a time when he didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged against him.""",There was even a time when Donald Trump didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged.,Hillary Clinton says Donald Trump claimed the Emmys were rigged,Half-True,http://politifact.com/truth-o-meter/statements/2016/oct/20/hillary-clinton/hillary-clinton-says-donald-trump-claims-emmys-wer/,
1036,CLINTON,"Well, you know, once again, Donald is implying that he didn't support the invasion of Iraq.","Clinton ""Once again, Donald is implying that he didn't support the invasion of Iraq. I said it was a mistake. I've said that years ago. He has consistently denied what is a very clear fact.""Trump ""Wrong.""",I was totally against the war in Iraq.,Trump repeats wrong claim that he opposed Iraq War,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/trump-repeats-wrong-claim-he-opposed-iraq-war/,
1037,CLINTON,I said it was a mistake.,"Clinton ""Once again, Donald is implying that he didn't support the invasion of Iraq. I said it was a mistake. I've said that years ago. He has consistently denied what is a very clear fact.""Trump ""Wrong.""",I was totally against the war in Iraq.,Trump repeats wrong claim that he opposed Iraq War,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/trump-repeats-wrong-claim-he-opposed-iraq-war/,WEAK
1038,CLINTON,I've said that years ago.,"Clinton ""Once again, Donald is implying that he didn't support the invasion of Iraq. I said it was a mistake. I've said that years ago. He has consistently denied what is a very clear fact.""Trump ""Wrong.""",I was totally against the war in Iraq.,Trump repeats wrong claim that he opposed Iraq War,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/trump-repeats-wrong-claim-he-opposed-iraq-war/,WEAK
1039,CLINTON,He has consistently denied what is...,"Clinton ""Once again, Donald is implying that he didn't support the invasion of Iraq. I said it was a mistake. I've said that years ago. He has consistently denied what is a very clear fact.""Trump ""Wrong.""",I was totally against the war in Iraq.,Trump repeats wrong claim that he opposed Iraq War,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/trump-repeats-wrong-claim-he-opposed-iraq-war/,WEAK
1133,TRUMP,We gave them $150 billion back.,"Trump ""We gave them 150 billion back.""","Under the Iran nuclear deal, ""we give them 150 billion, we get nothing.""","No, Donald Trump, we are not giving Iran 150 billion for 'nothing'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/mar/17/donald-trump/no-donald-trump-we-are-not-giving-iran-150-billion/,
1277,TRUMP,"It's -- the premiums are going up 60 percent, 70 percent, 80 percent.","Trump Obamacare ""premiums are going up 60 percent, 70 percent, 80 percent. Next year they're going to go up over 100 percent.""","Because of Obamacare ""peoples premiums ...are going up 35, 45, 55 percent.""","Trump Obamacare health care premiums 'going up 35, 45, 55 percent'",Half-True,https://www.politifact.com/truth-o-meter/statements/2015/oct/25/donald-trump/trump-obamacare-health-care-premiums-going-35-45-5/,
1329,TRUMP,"We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.","Trump ""We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.""","Our veterans, in many cases, are being treated worse than illegal immigrants.",Donald Trump's False claim veterans treated worse than illegal immigrants,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/09/donald-trump/trump-says-veterans-treated-worse-illegal-immigran/,
