title	fact
1994’s Most Bizarre Suicide	A coroner had his hands full determining just that in the case of a man who jumped off a building, only to have a shotgun blast finish him off halfway down.
2 Cents for a Grape	Account describes a customer purchasing a single grape to obtain cash back from an EBT card.
2 Million Bikers to DC	The '2 Millions Bikers to DC' group has been denied a 'no-stop' permit for a Washington ride-through on 11 September 2013.
2-Year-Old Girl Given Ecstasy	Video shows a 2-year-old girl who had been given the drug Ecstasy.
200-Million-Year Old Dinosaur Egg Hatches in Berlin Museum	A 200-million-year old dinosaur egg recently hatched in a Berlin museum.
2003 Darwin Awards	Internet-circulated list entitled “2003 Darwin Awards” details actual deaths.
2003 NYC Blackout Photo	Photograph from FOXNews web site depicting the New York City skyline the morning after the 2003 North American blackout includes a view of the World Trade Center towers.
2004 Darwin Awards	Internet-circulated list titled “2004 Darwin Awards” details actual demises.
2004 Long Island Black Friday Rumor	Minutes of emergency response agencies’ meeting reveal that on 26 November 2004 four Long Island shopping malls will be hit in a terrorist attack using chemical weapons.
2006 Darwin Awards	Internet-circulated list titled “2006 Darwin Awards” details actual deaths.
2006 Federal Excise Tax Credit	Special one-time federal excise tax credit in 2006 rebates tax overpayment on phone bills.
2007 Pennsylvania Cell Phone Use Law	New law going into effect in November 2007 will make it illegal for motorists in Pennsylvania to use cell phones while driving.
2008 Presidential Election Lottery Coincidence	The numbers 6-6-6 were the winning combination in an Illinois lottery the day after Election Day 2008.
2011 California Traffic Ticket Fines	List details fines for violations of California vehicle codes taking effect in 2011.
2012 U.S. Olympic Team Uniforms Made in China	Uniforms for the 2012 U.S. Olympic team were made in China.
2015 Super Bowl Rigged?	A fan’s tweets verified the results of the 2014-15 NFL season and Super Bowl were rigged.
2018’s ‘Amazing’ Calendar	In the year 2018, all twelve days on which the month and day share common ordinal values falls on a Sunday.
21 Dead, Many Injured in Ontario	Twenty-one people were killed in a mass shooting in Ontario (or other locations).
22 September 2001 Terrorist Attack	Further terrorist attacks were planned for 22 September 2001.
23 States Agree to Implement Gun Control Law Banning Hollow Point Ammunition	Twenty-three states have agreed to enact a total ban on all forms of hollow point ammunition.
25 to Life Boycott	Law enforcement group urges boycott of the video game 25 to Life.
27,000 People Came to a Bernie Sanders Rally in California	Photograph depicts a Bernie Sanders rally in California attended by more than 27,000 people that was ignored by the news media.
28-Ft. Florida Alligator Photograph	A photograph shows a 28-foot alligator captured in Florida.
3 Musketeers	The Milky Way and 3 Musketeers candy bars were given the wrong names when their wrappers were inadvertently switched.
3-Year-Old Asked to Leave KFC Because of Facial Scars	A 3-year-old girl was ordered to leave a KFC outlet because her facial injuries were disturbing to customers.
3-on-3 Basketball at the 2016 Olympics?	The IOC has announced 3-on-3 basketball will be an official sport at the 2016 Olympics.
30 Point Buck!	Photographs show a 30-point buck shot in Wisconsin by a 14-year-old Amish boy using a hand-made longbow.
300,000 Wisconsin Voters ‘Turned Away’ Due to Voter ID Laws?	Donald Trump won the state of Wisconsin by 27,000 votes, but 300,000 Wisconsin voters were turned away at the polls for insufficient identification.
31-Year-Old British Woman Died of “Cannabis Poisoning”?	A 31-year-old British woman died of ‘cannabis poisoning’ in October 2013.
3D Printer	Video clip shows a wrench being duplicated by a 3D printer.
3M World’s Largest Pink Ribbon	The 3M company is constructing the World’s Largest Pink Ribbon in Times Square to support breast cancer awareness.
4% Credit Card Fees	Beginning on 27 January 2013 credit card users will be assessed a 4% fee.
4-Year-Old Boy Accused of Hacking FBI Database	A 4-year-old boy was accused of hacking the FBI's databases.
40 Million Russians in Drills for Possible Nuclear Strike	40 million Russians conducted drills for an imminent nuclear strike.
40 Years in Prison for Selling Cannabis, 17 Years for Joining the Taliban?	We break down the factual claims made by the 'Other 98%' about the cases of John Walker Lindh and Michael Alonzo Thompson.
41-Lb. Rat Caught in New York City?	A photograph shows a 41-lb caught in New York City.
412-Pound Deer	Photographs shows a 412-lb. deer killed in Nebraska.
419.99 and Change	Photograph shows a 419.99 mile-marker sign along I-70 in Colorado.
430-Pound Buck Shot in Michigan?	Photographs shows a 430-pound buck shot in Hartford, Michigan in November 2014.
4th Grade Science Quiz	Image shows a fourth-grade science quiz about 'Dinosaurs: Genesis and the Gospel' from a South Carolina school.
5 Million Uncounted Sanders Ballots Found on Clinton’s Email Server	Nearly 5 million uncounted California ballots cast for Bernie Sanders were found on Hillary Clinton's private email server by the F.B.I.
5% Downpayment Quote	Senator Chris Dodd opined that a 5% down payment requirement “would restrict home ownership to only those who can afford it.”
50 Cent Severed Hand	Rapper 50 Cent underwent emergency surgery to reattach a hand severed by a car door.
57 Varieties of Truth	Temple Baptist Church was built on land sold for fifty-seven cents, the amount saved by a little girl who had been turned away from its Sunday school.
6 Days of Darkness in June 2015?	NASA has announced that a multi-day worldwide blackout will occur beginning on 30 June 2015.
6,000 Muslims with Forged Papers Caught at Southern Border	6,000 Muslim migrants with forged papers were captured trying to cross the U.S.-Mexico border.
6-Volt Battery Hack	Video demonstrates that 6-volt lantern batteries contain 32 AA batteries.
666 Barcode	The infamous number ‘666’ appears in all product barcodes.
69 Dead After Drinking Crocodile Bile Poison Beer	Crocodile bile is a deadly poison.
7-Eleven Warning	Terrorists are planning to launch attacks from 7-Eleven stores on July 11  2002.
70% of Arrested Charlotte Protesters Are Out-of-State Criminals	70 per cent of the persons arrested during protests in Charlotte had out-of-state IDs.
741741: Crisis Text Line	Teens can text 741741 from anywhere to talk with a crisis counselor.
8 Mile Sequel Confirmed for December 2016?	Eminem biopic '8 Mile' will return with a sequel in late 2016.
80 Percent of Black Men in Atlanta are Gay?	A study found that 80 percent of black men in Georgia were homosexual.
80 Percent of Murders Involve Interpersonal Disputes	In 2012, 80% of murders stemmed from otherwise law-abiding citizens involved in interpersonal disputes.
809 Area Code Call Warning	Unsuspecting phone customers are gulled into placing calls to area codes in the Caribbean that result in hefty charges.
9 ‘Facts’ About Slavery They Don’t Want You to Know	A circulating list of nine historical 'facts' about slavery accurately details the participation of non-whites in slave ownership and trade in America.
9-Year Old Boy Expelled from School Because He Said He 'Didn't Like Obama'	A nine-year old boy was expelled from school because he said he “didn’t like Obama.”
9-Year-Old Girl Gang-Raped	“Facebook companies” are contributing money towards the medical care of a 9-year-old rape victim every time a message is shared.
9-Year-Old Suspended for Saying ‘Merry Christmas’ to Teacher	A fourth-grade student was suspended for saying ‘Merry Christmas’ to his teacher.
9/11 Coincidences	Eerie coincidences pertaining to September 11 involve elevens, a Quran verse and Microsoft’s Wingdings font.
9/11 Domain Registrations	Several domain names related to the September 11 terrorist attack on America were registered before the attack.
9/11 Pepsi Can	Photograph shows a Pepsi can  with an illustration reminiscent of the 9/11 attacks.
9/11 Tear Drop Memorial	Photographs show a New Jersey monument to the victims of 9/11 that was donated by Russia.
911 Call After Hitting Deer	An intoxicated motorist hits a deer with his car and, assuming the animal is dead, loads it into his back seat. The deer revives and begins kicking and biting, prompting a hilarious 911 call by the dazed and confused driver.
911 Days Between Madrid Bombings and Sept 11	The 9/11 terrorist attacks on the U.S. in 2001 and the train bombings in Madrid, Spain, in 2004 were separated by a total of 911 days.
911 Fireman Ice Sculpture	Ice sculpture depicts an angel leaning on the shoulder of an exhausted New York City firefighter.
93-Year-Old Grandma Kills ‘Knockout Game’ Thug	A 93-year-old woman shot and killed one of a group of thugs who were attempting to make her a “knockout game” victim.
A Beagle and A Fawn	Photographs show a fawn that entered a home through a doggie door and made itself at home on the couch.
A Bloody Bad Album	The back of an early Beatles album contains a risqué mistake.
A Brief Overview of the Situation	Comedian Dennis Miller authored “A Brief Overview of the Situation,” an essay about the Palestinian-Israeli conflict.
A Call for Christians to Pray – Charles Stanley	Dr. Charles Stanley wrote an exhortation to Christians to pray for a John McCain victory in the presidential election.
A Canadian’s View of U.S. Elections	E-mail reproduces an editorial from a Canadian newspaper about U.S. presidential candidates.
A Celebrity Had This to Say About Your Town!	An A-list celebrity had car trouble in your town and afterwards praised the locals for being awesomely helpful.
A Date with Mom	A deceased mother finds a way to tell her son what their last dinner together meant to her.
A Difficult Cabin Announcement	Photograph shows a Mandarin Airlines flight taxiing past the charred remains of a crashed airliner.
A Dog Called Faith	Photographs show a bipedal dog named Faith.
A Dog Named Sex	The hilarious saga of a man who named his dog ‘Sex’.
A Fake Tweet from Donald Trump	Donald Trump tweeted that his 'grandparents didn't come to America' to see the country taken over by immigrants.
A Fete Worse Than Death	A young couple takes advantage of an empty house to engage in sexual play, only to be caught when the parents spring a surprise party on their daughter.
A Ford Dealer’s Report	Account describes Ford dealer’s encounter with a customer collecting disability benefits.
A Great Lady Has Passed — Pamela Murphy	"Account describes Pamela Murphy’s efforts on behalf of patients at a Veterans
Administration hospital."
A Lesson in Freedom: Veterans Return Students’ Desks	A teacher imparted a lesson in the value of freedom by having veterans return her students' desks.
A Man of Wealth and Taste	Photograph shows Senator John Kerry shaking hands with Anton LaVey, founder of the Church of Satan.
A Message from Blue Cross/Blue Shield	Monthly Medicare Part B premiums are set to jump to $247.00 in 2014.
A Message from the Chinese Restaurant Association of the United States?	Photograph shows a 'thank you' sign to Jews from the Chinese Restaurant Association of the United States.
A Museum on Every Corner	There are more museums in the United States than McDonald’s and Starbucks outlets combined.
A Mysterious Roofing Job	Roofers mysteriously return to re-do a job that had been completed four years earlier.
A New Breed of Gunner	Photograph shows the first female Air Force aerial gunner.
A Petition to Congress in Defense of Religious Freedom	A bill before Congress would make it a “hate crime” for pastors and churches to speak against homosexuality.
A Pink Strawberry Moon Will Rise in June 2015	June 2015 will see the appearance of a pink-colored ‘strawberry moon.’
A Red Fox Doesn’t Scream When It Finds Its Soulmate	The red fox will scream when it finds its perfect mate.
A Secret of Love — Brad Pitt	Actor Brad Pitt authored 'A Secret of Love' about his wife.
A Tale of Two Houses	E-mail compares George W. Bush's eco-friendly ranch with Al Gore's energy-expending mansion.
A Tattoo Ink Recall Is Underway?	White and Blue Lion tattoo ink is under national recall due to bacterial contamination.
A Thank You to All Starbucks Customers – Howard Schultz	Message from Starbucks Chairman Howard Schultz extols the company’s contributions to Israel.
A Tip for Education	An 18-year-old waitress in Texas received a $1,000 tip after a man overheard her discussing her college plans with a couple at another table.
A Truly Canadian Apology	Canadian comedian Rick Mercer offered a satirical “truly Canadian apology to the USA” on television.
A Universal Force	Albert Einstein once described love as a 'universal force' in a letter to his daughter Lieserl.
A Victim Treats His Mugger Right	Victim disarms would-be mugger by treating him to dinner.
A Woman Wasn’t Murdered Over Candy Crush Requests	A woman murdered her college roommate over too many Candy Crush requests.
A [Virtual] Card for You Virus	A (Virtual) Card for You
ABC News Poll Shows Trump with Wide Lead on Clinton	A live poll conducted by ABC News in August 2016 shows Donald Trump, Jill Stein, and Gary Johnson all well ahead of Hillary Clinton.
ABC Paid Darren Wilson $500,000?	ABC paid Darren Wilson $500,000 for his interview with George Stephanopoulos.
ACLU Christmas Cards	Sending Christmas cards to the ACLU will freeze their operations.
ACLU Director Resigns Over Transgender Bathroom Policy	An ACLU executive resigned because her children were made uncomfortable by the presence of transgender women in a bathroom.
ACLU and Cemetery Headstones	The ACLU is seeking to have cross-shaped headstones removed from federal cemeteries.
ACLU and Praying Marines	The ACLU objected to a U.S. Marine prayer session  because it constituted “federal employees praying on federal property and on federal time.”
AFLAC INSURANCE SCAM ALERT	Photograph shows a duck stealing money from a woman’s purse.
ALDI Coupons Facebook Scam	ALDI is giving away free grocery coupons to Facebook users who take a brief survey.
AMBER Alert Shutdown	The AMBER Alert system has been discontinued due to the federal government shutdown.
AMC’s ‘The Walking Dead’ Agrees to Bring Beth Greene Back to Life.	AMC is bringing the character of Beth Greene back to life on The Walking Dead.
AOL Rate Increase	You can avoid a recent AOL price increase for unlimited access subscriptions by calling and asking to be locked in at the old rate for one year.
AOL/Yahoo! E-mail Tax	AOL and Yahoo!  are proposing to “tax” e-mail messages.
AP Releases Athletes’ Home Phone Numbers	An Associated Press dispatch mistakenly sent out to newspapers included home phone numbers for hundreds of well-known sports figures.
AP Reports Obama as ‘Kenyan-Born’	A June 2004 Associated Press article identified Barack Obama as “Kenyan-born.”
ATF Reclassifies Wetted Nitrocellulose as High Explosive	The Bureau of Alcohol, Firearms and Tobacco (ATF) has reclassified wet nitrocellulose as a high explosive.
ATM Theft	Photographs show scammers using a strip of film to steal an unsuspecting bank customer’s ATM card.
Aaron Hernandez Found Not Guilty	Murder charges against former New England Patriots player Aaron Hernandez were dropped, and he will be returning to the Patriots for the 2015 NFL season.
Aaron Rodgers Photographed Holding ‘Stand For the Flag, Kneel for the Cross’ T-Shirt?	A photograph shows Green Bay Packers quarterback Aaron Rodgers holding a 'Stand for the flag, Kneel for the cross' shirt.
Aaron Rodgers and Olivia Munn Make Surprise Appearance at Bernie Sanders Event	Aaron Rodgers and Olivia Munn endorsed Bernie Sanders at a rally in Wisconsin.
Aaron Russell Steinmetz	A toddler named Aaron Russell Steimetz is missing, and you should forward the plea to help find him to everyone you know.
Aaron Wade Sisco	A 24-year-old Texas man named Aaron Wade Sisco is missing.
Abducted Mechanic	A mechanic working in a car’s trunk is mistaken for a kidnapping victim.
Abercrombie & Fitch N****** Brown Pants	Abercrombie & Fitch is offering “nigger brown” pants for sale.
Abercrombie & Fitch ‘Christmas Field Guide’ Nudity	The 2003 “Christmas Field Guide” issued by clothiers Abercrombie & Fitch included nude and sexually suggestive photographs of young models.
Aborted Babies Incinerated in Oregon Waste-to-Energy Facility	Medical waste that included human tissue was shipped from British Columbia to be incinerated at a power plant in Oregon.
Aborted Fetuses Found in Michigan Dumpster?	An image depicts multiple late-term aborted fetuses discovered in a dumpster behind a Michigan abortion clinic.
Abortion Rates Fall During Democratic Administrations and Rise During Republican Ones	Abortion rates drop during Democratic presidencies and rise during Republican administrations.
Abraham Lincoln Didn’t Quit	Abraham Lincoln endured a steady stream of failure and defeat before becoming President of the United States.
Accused Cascade Mall Shooter Arcan Cetin Voted as a Non-Citizen?	Alleged Cascade Mall shooter Arcan Cetin voted in three elections despite not being a U.S. citizen.
Ace Hardware Stands Against Standing Rock?	Ace Hardware is refusing to sell propane to Dakota Access pipeline protesters.
Acetaminophen Recall Alert	A recall has been issued for store-brand acetaminophen pills manufactured by Perrigo.
Acetone Improves Gas Mileage	Adding acetone to gasoline in an effort to improve gas mileage is a good idea.
Acid Bomb Warning	E-mail describes an “acid bomb” left to explode on a residential porch.
Acid Rain Warning	A dark circle around the moon presages acid rain.
Acid in Hand Soap	Acid was placed into in hand soap dispensers in the restrooms of rest stops in Alabama and Florida.
Actor Al Pacino Found Dead at Age 75	Actor Al Pacino has passed away at the age of 75.
Adam Mayblum Tower Escape	World Trade Center attack survivor Adam Mayblum gave a first-person account of his harrowing escape from one of the doomed towers.
Adam Sandler Death Hoax	Actor/comedian Adam Sandler has died at the age of 52.
Adam Sandler Death Hoax	Adam Sandler has died at age 52.
Adam Sandler Death Hoax	Adam Sandler was found dead of an apparent suicide in January 2017.
Adele White Privilege Petition	Petitioners demanded singer Adele admit her success is due to 'white privilege' and donate her wealth to the Black Lives Matter movement.
Adlai E. Stevenson High School ‘Donations’ Letter	Letter from high school offers to allow students to make monetary donations to offset inatttendance and poor grades.
Administration Quagmire	A 1945 Reuters article describes criticism of President Truman over a deteriorating security situation in occupied Germany.
Adobe PDF Reader Upgrade	E-mailed notification for Adobe PDF Reader software upgrades.
Adolf Hitler Never Used Chemical Weapons?	Adolf Hitler never used chemical weapons (against his own people).
Adolf Hitler – To Conquer a Nation	Adolf Hitler once said, 'To conquer a nation, you must first disarm its citizens.'
Adrian Peterson	The 2-year-old son of NFL star Adrian Peterson has died as the result of an apparent beating.
Adrian ‘Beast Mode’ Merced	A man named Adrian Merced assaulted his girlfriend and may escape justice.
Adulterated Dew Water	Adulterated Dew® brand bottled water killed 180 people in Tanzania.
Advice from a 1949 Singer Sewing Manual	Image reproduces women’s housekeeping and grooming instructions from a 1949 Singer sewing manual.
Aerosol Can Damage	Photographs depict damage to automobiles caused by exploding aerosol cans.
Aerosolized Thought Control Vaccine Tested on Humans	A leaked Pentagon video reveals a government plot to vaccinate people against thoughts, ideas, and religion.
Affair Admitted on Radio	A pranking radio DJ prompts a startling admission from his joke’s intended victim.
Afghani Women Petition	Women in Afghanistan are subject to severe violations of basic human rights (but signing a petition isn’t likely to help them).
Afghanistan Plane Crash Burns Military Absentee Ballots	A plane crash in Afghanistan destroyed the absentee ballots of U.S. military personnel.
African Americans for Obama	President Obama launched an “African Americans for Obama” campaign in February 2012.
African Union Issues ‘Travel Advisory’ for U.S.	"An African Union Travel Advisory warned Africans heading for the U.S. about ""continued instability"" in America."
African Union Issues ‘Travel Advisory’ for U.S.	An African Union Travel Advisory warned Africans heading for the U.S. about 'continued instability' in America.
African ‘Reconnection’ Ritual	A photograph shows an African tribe performing a ritual to reconnect a misbehaving person with his good nature.
After Birth Abortion	American liberals are debating the merits of 'after birth abortion.'
After Colonoscopy Reveals Brain Tumor, Donald Trump Drops from Race	Donald Trump dropped out of the presidential race in August 2016 due to a brain tumor.
After Getting Her Bra Twanged, A Young Girl Punched Her Classmate	An angry mother delivered a scathing response to school officials after her daughter was punished for punching a classmate who snapped her
After Getting Her Bra Twanged, A Young Girl Punched Her Classmate	An angry mother delivered a scathing response to school officials after her daughter was punished for punching a classmate who snapped her bra.
After This Bright Kid Attacked Barack Obama, Facebook Did THIS to Him	12-year-old CJ Pearson was suspended from Facebook because he criticized President Obama.
Agent Orange	Photograph shows a Vietnamese child with physical abnormalities attributed to Agent Orange.
Air Force Academy Commencement 2013	Account describes events connected with the 2013 Air Force Academy commencement ceremonies.
Air Force One	Photograph shows the tail number of Air Force One to be ‘N166ER.’
Air France Crash Photos	Photographs show the passenger cabin of an airliner as it broke up in mid-air.
Air Travelers Must Have REAL ID-Compliant Driver’s Licenses by October 2020	Some travelers may no longer be able to use their driver's licenses to board airplanes after 1 October 2020 due to the REAL ID Act.
Airline Ticket Giveaway Scam	Airlines are giving away free tickets or spending money to Facebook users who share and like a page.
Airline Tickets Scam	Several on-line airline ticket sites are scams used to harvest credit card numbers or cheat consumers out of their money.
Airline ‘Stop List’ Phishing Scam	Passenger “stop list” notifications from various airlines.
Airman Directs Jets in His Underwear	Photographs show a USAF airman marshaling a jet in a non-standard, revealing outfit.
Airplane Forced to Make Emergency Landing Because Woman’s V@gina Smelled So Bad	A passenger plane was forced to make an emergency landing because one passenger's vagina had an offensive odor.
Airplane Hit by Lightning	Photographs show an airliner that was struck by lightning.
Airplane Stuck on I-564 Overpass	Photograph shows large military transport plane stuck atop a freeway overpass.
Airplane With Panels Missing	Photograph shows an in-flight airliner with panels missing from one of its engines.
Airport Granny	An 83-year-old grandmother beat up six airport security guards.
Airport Water Bottle Contraband Warning	Smugglers are tricking innocent people at airports into transporting contraband in modified water bottles.
Al Franken Said His Judgment is More Important than Constituents’?	Senator Al Franken told a CNN interviewer that his judgment as a superdelegate was more important than that of his constituency.
Al Gore in Vietnam	Influential friends ensured that a “special dispensation” cut short Al Gore’s tour of duty in Vietnam.
Al Gore’s Home Energy Use	Al Gore's residence uses considerably more energy than the average American home.
Al Sharpton’s 1992 Speech Urged Blacks to Kill Police	In 1992 Al Sharpton delivered a speech in which he exhorted blacks to kill police.
Al Sharpton’s Tax Debt	President Obama forgave Al Sharpton's huge tax debt.
Alabama CPS ‘Medical Kidnap’	Alabama CPS agents took custody of a baby because his teen mother was raped.
Alabama Lawmaker Wants Food Stamp ‘Hunger Tests’?	A Republican lawmaker proposed introducing 'hunger tests' before issuing food stamps.
Alabama Legislator Angry That “State of Georgia” Allowed in Olympics	An Alabama state senator published an open letter saying that the state of Georgia shouldn't have been allowed to compete in the Olympics.
Alabama Mom’s Obamacare Horror Story	Alabama mom’s Obamacare horror story gives America a glimpse of government run healthcare.
Alabama’s Slice of Pi	Responding to pressure from religious groups, Alabama's state legislature redefined the value of pi from '3.14159...' to '3' in order to bring it in line with Biblical precepts.
Alan Rickman Rocking Chair Meme	Alan Rickman stated he envisioned sitting in a rocking chair at 80, reading 'Harry Potter' books to his grandchildren.
Alanis Morissette’s ‘You Oughta Know’	The Alanis Morissette song 'You Oughta Know' is about actor Dave Coulier from TV's 'Full House'.
Alaska Women Reject Palin Rally	Photographs show women at an anti-Palin rally held in Anchorage, Alaska.
Alaska, Hawaii, Washington State Overwhelmingly ‘White, Rural’?	Alaska, Hawaii, Washington states are overwhelmingly 'white' and 'rural.'
Alaskan Oil Shipped to Japan?	All the crude oil produced in Alaska is sold and shipped to Japan.
Alaskans’ Opinions on Sarah Palin	Letters written by Alaskans offer viewpoints of Alaska governor and vice-presidential nominee Sarah Palin.
Albert Einstein Introduction	Nick “the Greek” Dandalos had an unusual way of introducing Albert Einstein around Las Vegas.
Albert Einstein Switches Places with His Chauffeur	Albert Einstein switched places with his chauffeur for a speaking engagement, then fielded a question directed to the man the audience thought was him.
Albert Einstein and Gunsmoke	Albert Einstein once made a guest appearance on television’s Gunsmoke.
Albert Einstein, Civil Rights Activist	Albert Einstein once said that segregation was a “disease of white people.”
Albino Deer	Photographs show an albino whitetail deer fawn.
Albino Hummingbird	Photographs show an albino ruby-throated hummingbird.
Albino Moose	Photographs show a pair of albino moose alongside a highway.
Alert to Threats in 2013 Europe	A spoof of terrorist threat levels was written by English comic John Cleese.
Alex Singleton on Barack Obama	Opinion piece by London Daily Telegraph editor criticizes President Obama’s handling of foreign policy.
Alexander Fleming’s Father and Winston Churchill	The father of Alexander Fleming, the discoverer of penicillin, saved a young Winston Churchill from drowning, and in gratitude Churchill’s father paid for Fleming’s education.
Alexander Romney: Let the Unemployed Fight	Mitt Romney’s son Alexander said that “We serve our country by making money, to tell you the truth. Let the unemployed fight.”
Alexandria’s Genesis	A mutation known Alexandria's Genesis turns people into 'perfect human beings' who exhibit purple eyes six months after birth.
All 8 Supreme Court Justices Stand in Solidarity Against Trump SCOTUS Pick?	All eight Supreme Court justices penned a 'letter' saying  President Trump was 'completely wrong in choosing Neil Gorsuch' to fill a vacant seat on the court.
All Disney Movies Available on Netflix in September 2016	The entire Disney movie collection will be available for viewing through Netflix starting in September 2016.
All Dogs Go to Heaven	Photographs show a church sign debate over whether dogs go to heaven.
All I Want to Do	A song by the Beach Boys includes the recorded sounds of in-studio sex.
All Living Ex-Presidents Warn Against Donald Trump	All living former Presidents of the United States have urged Americans to not vote for Donald Trump.
All Time Low in Dating	Careless e-mail forward reveals embarrassing dating details.
All the Good Things	A teacher's ad hoc class assignment is kept and treasured by her students.
Allah or Jesus?	Prison imam is questioned about Islamic attitude toward infidels.
Allen West Pens Open Letter to Colin Kaepernick	The former Florida representative and wrote an angry column about 49ers quarterback Colin Kaepernick on his personal blog.
Allen West on Black History Month	Article reproduces Florida Congressman Allen West’s comments about Black History Month.
Alligator Attack on Golfer	Photographs show a golfer whose arm was torn off by an alligator.
